Account ID,Account Name,Account Owned By,Account Type,Address,Billing City,Billing Region,Billing State,Close Date,Closed,Created Date,Current Quarter?,Days Left before EOQ,Hide Dates,Industry,Opportunity ID,Opportunity Name,Opportunity Type,Opportunity Type Filter,Product Name,Product Name Filter,Stage,Today,Won,Zip Code,Amount,Customer Count,Discount Granted,Latitude,Longitude,Number of Records,Opportunity Quantity,Sales,Software Sold,Transactions,Unit Price,Weekly Sales,Account Owned By,Close Date,Opportunity Type,Product Name,Today,Current Quarter Quota,Number of Records,Quota
001i0000008rFDvAAM,Volutpat Nunc Sit Corporation,Elissa Sanders,Gold,"717 Sylvan Lake Rd #B-1, Eagle, CO 81631",Eagle,West,Colorado,2/18/2011,TRUE,2/18/2011,Other Quarters,31,TRUE,Telecommunication,006i0000001vt9fAAA,Volutpat Nunc Sit Corporation vt9fAAA  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,81631,352.8,1,2.00%,39.640104,-106.832202,1,3,$0K,0,1,120,$352.80 ,Deepak Ramirez,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,3060
001i0000008rFbyAAE,Aerosoft,Greg Long,Gold,"131 1 St Ave N, Jacksonville Beach, FL 32250",Jacksonville Beach,Southeast,Florida,2/20/2011,TRUE,2/12/2011,Other Quarters,31,TRUE,Retail,006i0000001vt9aAAA,Aerosoft vt9aAAA  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,32250,1890,1,25.00%,30.290517,-81.390856,1,21,$0K,0,0,120,$0.00 ,Elissa Sanders,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,17500.4
001i0000008rFxEAAU,123 Warehousing,Tara Wang,Gold,"3270 N Hwy 87, Pine, AZ 85544",Pine,Southwest,Arizona,2/22/2011,TRUE,2/19/2011,Other Quarters,31,TRUE,Recreation,006i0000001vt9jAAA,123 Warehousing vt9jAAA  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,85544,7104,1,26.00%,34.382835,-111.453115,1,12,$7K,12,1,800,"$7,104.00 ",Fred Jenkins,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,31595.2
001i0000008rFUtAAM,Urna PC,Greg Long,Gold,"30205 Sw 217 Ave, Homestead, FL 33030",Homestead,Southeast,Florida,2/25/2011,TRUE,2/27/2011,Other Quarters,31,TRUE,Retail,006i0000001vt9wAAA,Urna PC vt9wAAA  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,33030,62016,1,24.00%,25.485588,-80.540435,1,102,$62K,102,1,800,"$62,016.00 ",Greg Long,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,43411.2
001i0000008rCwFAAU,Integer Tincidunt Inc.,Jennifer Gonzales,Gold,"413 Main St, Ferdinand, ID 83526",Ferdinand,West,Idaho,2/26/2011,TRUE,2/28/2011,Other Quarters,31,TRUE,Agriculture,006i0000001vtADAAY,Integer Tincidunt Inc. vtADAAY  MOL Standard Services,Services,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,83526,24255,1,23.00%,46.152419,-116.388535,1,45,$0K,0,0,700,$0.00 ,Greg Powell,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,24946.88
001i0000008rFtRAAU,Ac Turpis Egestas Limited,Jennifer Gonzales,Gold,"157 2nd Ave, Twin Falls, ID 83301",Twin Falls,West,Idaho,2/26/2011,TRUE,2/28/2011,Other Quarters,31,TRUE,Transportation,006i0000001vtA6AAI,Ac Turpis Egestas Limited vtA6AAI  MOL Standard Services,Services,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,83301,5600,1,20.00%,42.55571,-114.472287,1,10,$6K,0,1,700,"$5,600.00 ",Jennifer Gonzales,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,7647.2
001i0000008rF97AAE,Egestas Aliquam LLP,Jennifer Gonzales,Gold,"1710 North 2nd St, Coeur D Alene, ID 83814",Coeur D Alene,West,Idaho,3/5/2011,TRUE,3/7/2011,Other Quarters,31,TRUE,Retail,006i0000001vtARAAY,Egestas Aliquam LLP vtARAAY  MOL Standard Services,Services,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,83814,26460,1,10.00%,47.691579,-116.782943,1,42,$0K,0,0,700,$0.00 ,Jesse Alexander,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,12830.4
001i0000008rFftAAE,Nullam Ltd,Jennifer Gonzales,Gold,"6424 Riverside St, Bonners Ferry, ID 83805",Bonners Ferry,West,Idaho,3/5/2011,TRUE,3/7/2011,Other Quarters,31,TRUE,Transportation,006i0000001vtASAAY,Nullam Ltd vtASAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,83805,6952,1,21.00%,48.697301,-116.317067,1,11,$7K,11,1,800,"$6,952.00 ",Joe Ford,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,17075.52
001i0000008rCcWAAU,Multimodous Ventures,Jesse Alexander,Gold,"7700 West Madison, Forest Park, IL 60130",Forest Park,Midwest,Illinois,3/8/2011,TRUE,2/28/2011,Other Quarters,31,TRUE,Business Services,006i0000001vtA3AAI,Multimodous Ventures vtA3AAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,60130,664,1,17.00%,41.879132,-87.817123,1,1,$0K,1,0,800,$0.00 ,Tara Wang,3/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,6890.88
001i0000008rCLtAAM,Erat Etiam Incorporated,Deepak Ramirez,Gold,"2325 Endicott St, Saint Paul, MN 55114",Saint Paul,Midwest,Minnesota,3/9/2011,TRUE,3/11/2011,Other Quarters,31,TRUE,Insurance,006i0000001vtAZAAY,Erat Etiam Incorporated vtAZAAY  MOL Standard Services,Services,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,55114,2688,1,4.00%,44.970161,-93.192564,1,4,$3K,0,1,700,"$2,688.00 ",Greg Powell,6/30/2011,Maintenance,MOL Mobile,5/30/2015,$0.0M,1,655.52
001i0000008rBf9AAE,Risus LLP,Deepak Ramirez,Gold,"233 W Hwy 61, Grand Marais, MN 55604",Grand Marais,Midwest,Minnesota,3/11/2011,TRUE,3/13/2011,Other Quarters,31,TRUE,Healthcare,006i0000001vtAiAAI,Risus LLP vtAiAAI  MOL Standard Software,Maintenance,0,MOL Mobile,0,Closed Won,5/30/2015,TRUE,55604,961.2,1,11.00%,47.749329,-90.338889,1,9,$1K,0,1,120,$961.20 ,Dennis Watson,6/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,584.33
001i0000008rFAhAAM,Quisque Foundation,Jesse Alexander,Gold,"2710 Cherokee Street, Saint Louis, MO 63118",Saint Louis,Midwest,Missouri,3/11/2011,TRUE,3/13/2011,Other Quarters,31,TRUE,Oil & Gas,006i0000001vtAhAAI,Quisque Foundation vtAhAAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,63118,11664,1,19.00%,38.593371,-90.228204,1,18,$12K,18,1,800,"$11,664.00 ",Greg Powell,6/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,3921.71
001i0000008rFBVAA2,Pede Nunc Industries,Jesse Alexander,Gold,"422 Nth Main St, Hannibal, MO 63401",Hannibal,Midwest,Missouri,3/23/2011,TRUE,3/25/2011,Other Quarters,31,TRUE,Services,006i0000001vtBBAAY,Pede Nunc Industries vtBBAAY  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,63401,1857.6,1,14.00%,39.71224,-91.357556,1,18,$2K,0,1,120,"$1,857.60 ",Jesse Alexander,6/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,358.28
001i0000008rFxTAAU,Egestas Duis Ac PC,Jennifer Gonzales,Gold,"117 S Central Ave, Sidney, MT 59270",Sidney,West,Montana,3/26/2011,TRUE,3/28/2011,Other Quarters,31,TRUE,Technology,006i0000001vtBTAAY,Egestas Duis Ac PC vtBTAAY  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,59270,1003.2,1,24.00%,47.714745,-104.157523,1,11,$1K,0,1,120,"$1,003.20 ",Julie Owens,6/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,645.84
001i0000008rEnoAAE,Libero Lacus Ltd,Jennifer Gonzales,Gold,"518 1st Ave, Hamilton, MT 59840",Hamilton,West,Montana,3/27/2011,TRUE,3/29/2011,Other Quarters,31,TRUE,Financial Services,006i0000001vtBqAAI,Libero Lacus Ltd vtBqAAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,59840,11424,1,16.00%,46.242458,-114.15469,1,17,$0K,17,0,800,$0.00 ,Fred Jenkins,6/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,3880.8
001i0000008rFxKAAU,At Incorporated,Joe Ford,Gold,"454 Carolina Wy, Highlands, NC 28741",Highlands,Southeast,North Carolina,3/27/2011,TRUE,3/29/2011,Other Quarters,31,TRUE,Transportation,006i0000001vtBcAAI,At Incorporated vtBcAAI  MOL Standard Services,Services,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,28741,13363,1,17.00%,35.053896,-83.195433,1,23,$13K,0,1,700,"$13,363.00 ",Julie Owens,6/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,7172.2
001i0000008rFWHAA2,Vestibulum Ltd,Deepak Ramirez,Gold,"7474 Towne Ctr Pkwy, Papillion, NE 68046",Papillion,Midwest,Nebraska,3/27/2011,TRUE,3/29/2011,Other Quarters,31,TRUE,Business Services,006i0000001vtBgAAI,Vestibulum Ltd vtBgAAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,68046,6000,1,25.00%,41.134818,-96.02724,1,10,$6K,10,1,800,"$6,000.00 ",Kevin Gibson,6/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,39694.34
001i0000008rBhvAAE,Magna Nec Quam Foundation,Joe Ford,Gold,"4821 Grove Barton R, Raleigh, NC 27613",Raleigh,Southeast,North Carolina,3/27/2011,TRUE,3/29/2011,Other Quarters,31,TRUE,Hospitality,006i0000001vtBmAAI,Magna Nec Quam Foundation vtBmAAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,27613,22176,1,1.00%,35.870434,-78.717365,1,28,$22K,28,1,800,"$22,176.00 ",Tara Wang,6/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,764.4
001i0000008rG3bAAE,Ante Maecenas Ltd,Tara Wang,Gold,"1800 4th St NW, Albuquerque, NM 87102",Albuquerque,Southwest,New Mexico,3/28/2011,TRUE,3/30/2011,Other Quarters,31,TRUE,Hospitality,006i0000001vtCHAAY,Ante Maecenas Ltd vtCHAAY  MOL Standard Services,Services,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,87102,10234,1,14.00%,35.102217,-106.647701,1,17,$0K,0,0,700,$0.00 ,Fred Jenkins,6/30/2011,Software,MOL Mobile,5/30/2015,$0.0M,1,5322.24
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,3/28/2011,TRUE,3/27/2011,Other Quarters,31,TRUE,Technology,006i0000001vtBJAAY,Global Phone Networks(GPN) vtBJAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,92020,71280,1,10.00%,32.79574,-116.962457,1,99,$0K,99,0,800,$0.00 ,Fred Jenkins,6/30/2011,Software,MOL Premium,5/30/2015,$0.0M,1,9229.44
001i0000008rBMxAAM,Tellus LLP,Greg Powell,Platinum,"2415 NH Route 16, West Ossipee, NH 03890",West Ossipee,Northeast,New Hampshire,3/28/2011,TRUE,3/30/2011,Other Quarters,31,TRUE,Healthcare,006i0000001vtCEAAY,Tellus LLP vtCEAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,3890,25456,1,14.00%,43.8225,-71.205574,1,37,$25K,37,1,800,"$25,456.00 ",David Ward,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,6098.4
001i0000008rEVFAA2,Enim PC,Julie Owens,Gold,"97 Nassau Ave, Brooklyn, NY 11222",Brooklyn,Northeast,New York,4/2/2011,TRUE,3/29/2011,Other Quarters,31,TRUE,Healthcare,006i0000001vtBiAAI,Enim PC vtBiAAI  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,11222,1932,1,30.00%,40.724106,-73.950365,1,23,$0K,0,0,120,$0.00 ,Dennis Watson,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,15372
001i0000008rBhvAAE,Magna Nec Quam Foundation,Joe Ford,Gold,"4821 Grove Barton R, Raleigh, NC 27613",Raleigh,Southeast,North Carolina,4/2/2011,TRUE,4/2/2011,Other Quarters,31,TRUE,Hospitality,006i0000001vtCRAAY,Magna Nec Quam Foundation vtCRAAY  MOL Standard Services,Services,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,27613,623,1,11.00%,35.870434,-78.717365,1,1,$0K,0,0,700,$0.00 ,Eric Barnes,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,29395.6
001i0000008rFuqAAE,Sample Company,Julie Owens,Gold,"411 Route 3, Plattsburgh, NY 12901",Plattsburgh,Northeast,New York,4/4/2011,TRUE,4/4/2011,Other Quarters,31,TRUE,Business Services,006i0000001vtCTAAY,Sample Company vtCTAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,12901,6192,1,14.00%,44.695876,-73.488517,1,9,$0K,9,0,800,$0.00 ,Greg Powell,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,74801.52
001i0000008rEKQAA2,Pretium Neque Morbi Inc.,Julie Owens,Gold,"175 Main St, Oneonta, NY 13820",Oneonta,Northeast,New York,4/7/2011,TRUE,3/30/2011,Other Quarters,31,TRUE,Manufacturing,006i0000001vtC0AAI,Pretium Neque Morbi Inc. vtC0AAI  MOL Standard Services,Services,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,13820,595,1,15.00%,42.453703,-75.062544,1,1,$0K,0,0,700,$0.00 ,Jason Stoltz,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,3400
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,4/20/2011,TRUE,4/17/2011,Other Quarters,31,TRUE,Technology,006i0000001vtChAAI,Global Phone Networks(GPN) vtChAAI  MOL Premium Software,Software,0,MOL Premium,0,Closed Won,5/30/2015,TRUE,92020,10032,1,24.00%,32.79574,-116.962457,1,11,$10K,11,1,1200,"$10,032.00 ",Jason Washington,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,14009.76
001i0000008rDgtAAE,Sollicitudin A Malesuada Limited,Julie Owens,Gold,"73 Hamburg St, Buffalo, NY 14204",Buffalo,Northeast,New York,5/1/2011,TRUE,5/3/2011,Other Quarters,31,TRUE,Financial Services,006i0000001vtDJAAY,Sollicitudin A Malesuada Limited vtDJAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,14204,6120,1,15.00%,42.86588,-78.859573,1,9,$6K,9,1,800,"$6,120.00 ",Jesse Alexander,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,3876
001i0000008rFxXAAU,Gadgetron,Julie Owens,Gold,"1 Main St, Brockport, NY 14420",Brockport,Northeast,New York,5/2/2011,TRUE,4/26/2011,Other Quarters,31,TRUE,Distribution,006i0000001vtD7AAI,Gadgetron vtD7AAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,14420,1440,1,10.00%,43.216377,-77.937955,1,2,$1K,2,1,800,"$1,440.00 ",Joe Ford,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,2611.84
001i0000008rBlhAAE,Venenatis A Limited,Julie Owens,Gold,"401 Lakeshore Dr, Canandaigua, NY 14424",Canandaigua,Northeast,New York,5/8/2011,TRUE,5/10/2011,Other Quarters,31,TRUE,Entertainment,006i0000001vtDWAAY,Venenatis A Limited vtDWAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,14424,9048,1,13.00%,42.872218,-77.252431,1,13,$9K,13,1,800,"$9,048.00 ",Julie Owens,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,40680.32
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,5/11/2011,TRUE,5/8/2011,Other Quarters,31,TRUE,Technology,006i0000001vtDRAAY,Global Phone Networks(GPN) vtDRAAY  MOL Standard Services,Services,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,92020,5880,1,16.00%,32.79574,-116.962457,1,10,$6K,0,1,700,"$5,880.00 ",Kevin Gibson,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,14765.76
001i0000008rCXuAAM,Lacinia At Incorporated,Julie Owens,Gold,"40 Park Dr, Hornell, NY 14843",Hornell,Northeast,New York,5/15/2011,TRUE,5/17/2011,Other Quarters,31,TRUE,Telecommunication,006i0000001vtDvAAI,Lacinia At Incorporated vtDvAAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,14843,40176,1,19.00%,42.315999,-77.654895,1,62,$40K,62,1,800,"$40,176.00 ",Tara Wang,6/30/2011,Software,MOL Standard,5/30/2015,$0.0M,1,1496.88
001i0000008rFxEAAU,123 Warehousing,Tara Wang,Gold,"3270 N Hwy 87, Pine, AZ 85544",Pine,Southwest,Arizona,5/16/2011,TRUE,5/8/2011,Other Quarters,31,TRUE,Recreation,006i0000001vtDPAAY,123 Warehousing vtDPAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,85544,1944,1,19.00%,34.382835,-111.453115,1,3,$2K,3,1,800,"$1,944.00 ",Tara Wang,9/30/2011,Maintenance,MOL Mobile,5/30/2015,$0.0M,1,1478.88
001i0000008rFxXAAU,Gadgetron,Julie Owens,Gold,"1 Main St, Brockport, NY 14420",Brockport,Northeast,New York,5/17/2011,TRUE,5/15/2011,Other Quarters,31,TRUE,Distribution,006i0000001vtDnAAI,Gadgetron vtDnAAI  MOL Standard Services,Services,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,14420,6580,1,6.00%,43.216377,-77.937955,1,10,$7K,0,1,700,"$6,580.00 ",Elissa Sanders,9/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,2851.2
001i0000008rCZ0AAM,Interdum Curabitur Dictum Inc.,Dennis Watson,Gold,"41 N State St, Westerville, OH 43081",Westerville,Midwest,Ohio,5/20/2011,TRUE,5/22/2011,Other Quarters,31,TRUE,Appliances,006i0000001vtE7AAI,Interdum Curabitur Dictum Inc. vtE7AAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,43081,18000,1,25.00%,40.127006,-82.932009,1,30,$18K,30,1,800,"$18,000.00 ",Fred Jenkins,9/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,628.94
001i0000008rCZqAAM,Dui Lectus Rutrum Foundation,Dennis Watson,Gold,"441 Catawba Ave, Put-In-Bay, OH 43456",Put-In-Bay,Midwest,Ohio,5/27/2011,TRUE,5/29/2011,Other Quarters,31,TRUE,Insurance,006i0000001vtEMAAY,Dui Lectus Rutrum Foundation vtEMAAY  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,43456,7200,1,25.00%,41.652955,-82.81965,1,12,$7K,12,1,800,"$7,200.00 ",Greg Powell,9/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,10252.62
001i0000008rFkfAAE,Aenean Institute,Dennis Watson,Gold,"1000 Carillon Blvd, Dayton, OH 45409",Dayton,Midwest,Ohio,6/1/2011,TRUE,6/3/2011,Other Quarters,31,TRUE,Home Furnishing,006i0000001vtEqAAI,Aenean Institute vtEqAAI  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,45409,823.2,1,2.00%,39.729197,-84.199902,1,7,$1K,0,1,120,$823.20 ,Jamie Data,9/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,1060.9
001i0000008rDxMAAU,Id Foundation,Eric Barnes,Gold,"1174 SW Highway 99W, Dundee, OR 97115",Dundee,West,Oregon,6/3/2011,TRUE,6/5/2011,Other Quarters,31,TRUE,Financial Services,006i0000001vtEyAAI,Id Foundation vtEyAAI  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,97115,24336,1,22.00%,45.274215,-123.01471,1,39,$24K,39,1,800,"$24,336.00 ",Maria Porter,9/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,6486.9
001i0000008rBmiAAE,Nisl Arcu Consulting,Fred Jenkins,Cloud,"475 N. Lake Blvd, Tahoe City, CA 96145",Tahoe City,West,California,6/4/2011,TRUE,5/29/2011,Other Quarters,31,TRUE,Healthcare,006i0000001vtENAAY,Nisl Arcu Consulting vtENAAY  MOL Mobile Software,Software,0,MOL Mobile,0,Closed Won,5/30/2015,TRUE,96145,6048,1,16.00%,39.170569,-120.141848,1,8,$6K,8,1,900,"$6,048.00 ",Tara Wang,9/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,4043.52
